Name;Url;Year/s;Certificate;Duration;Rating;Votes;
Camera café;/title/tt0481033/;(2005– );TP;45 min;6.4;976;
Foodie Love;/title/tt9894488/;(2019– );12;;7.8;1,639;
Un paso adelante;/title/tt0338639/;(2002–2005);TP;50 min;6.3;1,469;
Aquí no hay quien viva;/title/tt0381733/;(2003–2006);7;60 min;8.2;3,929;
El tiempo que te doy;/title/tt13322938/;(2021– );16;10 min;7.1;1,157;
Metaru Faito Beibureedo;/title/tt1674928/;(2009–2013);7;30 min;6.3;1,662;
La víctima número 8;/title/tt8500086/;(2018);16;53 min;7.0;1,982;
Digimon Adventure;/title/tt11645760/;(2020– );;;7.1;542;
Física o química;/title/tt1153059/;(2008–2011);18;75 min;6.4;1,551;
Parot;/title/tt13024344/;(2021– );18;60 min;5.5;412;
El Desafío;/title/tt12642796/;(2020– );13;50 min;8.2;559;
Tiempos de guerra;/title/tt6740146/;(2017);12;70 min;7.6;3,052;
Pocoyó;/title/tt0487849/;(2005– );;7 min;7.4;1,577;
El edén perdido;/title/tt1029110/;(2007 TV Movie);;96 min;5.2;24;
Servir y proteger;/title/tt6471068/;(2017– );7;;5.4;97;
Carlos, rey emperador;/title/tt4418020/;(2015–2016);12;;7.5;635;
Sin límites;/title/tt11895484/;(2021– );;;8.4;5;
Vida perfecta;/title/tt8344544/;(2019–2021);16;30 min;7.4;977;
El vecino;/title/tt9731222/;(2019–2021);13;30 min;6.5;2,123;
La peste;/title/tt5868826/;(2018–2019);16;50 min;7.2;1,966;
Beyblade Burst;/title/tt6348126/;(2016– );;24 min;6.8;528;
El pueblo;/title/tt8038148/;(2019– );13;;7.3;691;
Vanda;/title/tt15316232/;(2022– );;;;;
Nasdrovia;/title/tt10464754/;(2020–2022);16;;6.4;315;
Sequía;/title/tt14716434/;(2022);16;75 min;6.5;112;
La verdad;/title/tt5266260/;(2018);18;70 min;6.6;276;
Estoy vivo;/title/tt7180852/;(2017– );12;;7.6;995;
Madres. Amor y vida;/title/tt9204170/;(2020– );16;;6.4;191;
Nit i dia;/title/tt5101192/;(2016–2017);13;52 min;7.7;489;
Juan y Tolola;/title/tt0487813/;(2005–2008);;22 min;6.7;1,745;
Las del hockey;/title/tt9486226/;(2019–2020);13;50 min;6.9;425;
Sé quién eres;/title/tt4888908/;(2017);12;70 min;7.5;1,434;
Brigada Costa del Sol;/title/tt8476166/;(2019);16;;6.8;555;
Aída;/title/tt0440981/;(2005–2014);12;60 min;6.6;2,101;
Dos vidas;/title/tt13323392/;(2021–2022);7;;7.7;45;
La otra mirada;/title/tt7905548/;(2018–2019);12;;7.6;455;
Hospital Central;/title/tt0297174/;(2000–2012);13;60 min;5.6;682;
Un asunto privado;/title/tt10698534/;(2022– );;;;;
Dime quién soy;/title/tt10474134/;(2020–2021);16;426 min;7.0;744;
Arde Madrid;/title/tt7684260/;(2018);18;30 min;7.6;1,477;
Sin tetas no hay paraíso;/title/tt1077065/;(2008–2009);16;70 min;5.8;528;
Presunto culpable;/title/tt7654820/;(2018);16;;6.8;374;
Moebius;/title/tt13915876/;(2021);7;;6.9;62;
Fugitiva;/title/tt7158972/;(2018);12;60 min;5.6;656;
Cheers;/title/tt2006371/;(2011);;;2.5;103;
Insiders;/title/tt15436028/;(2021– );12;;4.3;622;
Ser o no ser;/title/tt16244532/;(2022– );16;;9.5;11;
Ana Tramel. El juego;/title/tt11853880/;(2021);12;;6.8;154;
Treufoc;/title/tt6975960/;(2017– );;50 min;8.0;30;
Bajo sospecha;/title/tt3825328/;(2014–2016);12;;7.6;1,765;
Desaparecidos;/title/tt9204160/;(2020– );12;;7.0;191;
Cites;/title/tt4379450/;(2015–2016);13;;7.5;382;
Sin identidad;/title/tt3351126/;(2014–2015);12;75 min;7.5;693;
Águila Roja;/title/tt1381020/;(2009–2016);12;90 min;6.7;1,099;
Maricón perdido;/title/tt13138498/;(2021);16;;6.9;589;
Der König von Palma;/title/tt16450488/;(2022– );;;7.6;47;
Pigi y sus amigos;/title/tt0381772/;(2003–2007);;30 min;6.9;1,142;
Kid vs. Kat;/title/tt1307224/;(2008–2011);;22 min;6.1;3,226;
Alma;/title/tt13106334/;(2022– );;;;;
Too Hot to Handle: Latino;/title/tt15251764/;(2021– );16;36 min;5.2;259;
Por H o por B;/title/tt10371088/;(2020);16;;6.1;419;
Venga Juan;/title/tt14828074/;(2021–2022);16;30 min;7.5;200;
Seis hermanas;/title/tt4485006/;(2015–2017);;;7.3;222;
El Príncipe;/title/tt2651246/;(2014–2016);16;75 min;7.4;1,081;
Allí abajo;/title/tt4092270/;(2015–2019);7;60 min;6.9;582;
Hasta el cielo;/title/tt18273742/;(2022);;;;;
G.E.O. Más Allá del Límite;/title/tt13063852/;(2021– );16;50 min;8.3;627;
Gormiti;/title/tt9077350/;(2018– );TP;;5.4;113;
Días mejores;/title/tt14728968/;(2022);;;;;
Simeone Living Match by Match;/title/tt17673424/;(2022– );;;8.2;84;
Cardo;/title/tt13880448/;(2021– );18;;6.8;195;
Amor con fianza;/title/tt14540924/;(2021– );12;;5.6;221;
Vota Juan;/title/tt8387272/;(2019– );12;;6.8;587;
Reina de espadas;/title/tt0252781/;(2000–2001);;30 min;6.9;450;
Com si fos ahir;/title/tt7331764/;(2017– );13;;5.0;64;
Amar es para siempre;/title/tt0472642/;(2005– );7;30 min;5.6;314;
3 caminos;/title/tt11658082/;(2021);TP;;6.5;403;
Eon Kid;/title/tt1001471/;(2007– );;;8.3;394;
La zona;/title/tt6693154/;(2017–2018);16;60 min;6.5;897;
La casa de papel: El fenómeno;/title/tt12078990/;(2020 TV Movie);;57 min;7.5;3,390;
Matchday: Inside FC Barcelona;/title/tt11122508/;(2019);;50 min;8.0;833;
Películas para no dormir: La habitación del niño;/title/tt0430164/;(2006 TV Movie);18;77 min;6.8;5,475;
HIT;/title/tt11519748/;(2020– );16;;7.2;218;
Malviviendo;/title/tt2097031/;(2008–2014);12;;8.8;2,631;
Augustus - El primer emperador;/title/tt0340529/;(2003 TV Movie);13;200 min;6.2;1,370;
Desafío Champions Sendokai;/title/tt3040130/;(2013– );A/i;;8.1;197;
Caronte;/title/tt9204142/;(2020– );18;;6.7;372;
El inmortal;/title/tt8712456/;(2022– );;;;;
Silk Road;/title/tt5614150/;(2017 TV Movie);Not Rated;89 min;6.0;681;
Los pacientes del doctor García;/title/tt17075746/;(2022);;;;;
Intimidad;/title/tt14463542/;(2021);;;;;
Beyblade Burst Rise;/title/tt11916718/;(2020– );;11 min;6.9;150;
Gigantes;/title/tt6970690/;(2018–2019);18;50 min;7.2;815;
La línea invisible;/title/tt8917542/;(2020);16;45 min;7.2;1,201;
Benidorm;/title/tt10656162/;(2020– );12;50 min;6.2;46;
Los misterios de Laura;/title/tt1442434/;(2009–2014);7;60 min;7.4;531;
La fuga;/title/tt1988853/;(2012);;90 min;6.6;265;
L'Alqueria Blanca;/title/tt1127229/;(2007–2022);TP;;7.0;30;
Dejimon furontiâ;/title/tt0316975/;(2002–2003);;;6.8;2,656;
Señoras del (h)AMPA;/title/tt8065786/;(2019–2021);16;;7.2;331;
Apagón;/title/tt16021642/;(2022– );;;;;
45 Revoluciones;/title/tt8987918/;(2019);16;50 min;7.2;501;
Pequeñas coincidencias;/title/tt8597326/;(2018–2021);12;;7.4;601;
Memorias de Idhún;/title/tt9731266/;(2020–2021);16;25 min;5.4;561;
Los hermanos Koala;/title/tt0445882/;(2003–2007);;15 min;6.8;578;
Tu cara me suena;/title/tt2078446/;(2011– );;150 min;6.7;183;
Inés del alma mía;/title/tt10721998/;(2020);16;;7.1;373;
Teresa de Calcuta;/title/tt0375986/;(2003 TV Movie);;180 min;7.0;699;
Chiringuito de Pepe;/title/tt3749022/;(2014–2016);7;;6.3;347;
Apaches;/title/tt4418844/;(2015–2017);16;;7.0;294;
Centro médico;/title/tt5159898/;(2015–2019);7;30 min;7.0;62;
Libertad;/title/tt11719562/;(2021);16;250 min;5.9;191;
Élite: historias breves: Samuel Omar;/title/tt16259804/;(2021);16;;6.2;541;
Love Island;/title/tt14230710/;(2021– );;;2.5;35;
Heridas;/title/tt14682860/;(2022– );;;;;
Vamos Juan;/title/tt11953308/;(2020);12;;7.1;396;
Eufòria;/title/tt18358210/;(2022);;;;;
La Leyenda Blanca;/title/tt14823452/;(2022– );;;9.3;62;
María de Nazaret;/title/tt2224327/;(2012 TV Movie);A;100 min;6.3;292;
Auga Seca;/title/tt10495654/;(2020–2021);7;50 min;6.6;384;
Filly Funtasia;/title/tt5096624/;(2019– );;30 min;5.9;36;
Malaka;/title/tt9756000/;(2019);16;;7.5;267;
Tierra de lobos;/title/tt1698445/;(2010–2014);12;75 min;7.3;412;
Tú también lo harías;/title/tt18988142/;(2022);;;;;
Néboa;/title/tt10370978/;(2020);16;60 min;6.8;283;
Crematorio;/title/tt1661526/;(2011);16;397 min;7.6;1,016;
Nacho Vidal: Una industria XXXL;/title/tt18261546/;(2022– );;;;;
SMS, sin miedo a soñar;/title/tt0821927/;(2006–2007);Not Rated;50 min;5.4;391;
Mira lo que has hecho;/title/tt7117634/;(2018–2020);18;25 min;7.4;1,402;
Gran reserva;/title/tt1506996/;(2010–2013);;75 min;6.9;221;
La embajada;/title/tt5266278/;(2016);;70 min;6.5;387;
Fernando;/title/tt12945004/;(2020– );13;50 min;7.6;424;
Polseres vermelles;/title/tt1698292/;(2011– );7;45 min;8.1;1,498;
Dejimon Teimâzu;/title/tt0295080/;(2001–2002);;;7.6;2,039;
Refugiados;/title/tt4011172/;(2014–2015);;50 min;5.6;338;
El secreto de Puente Viejo;/title/tt1847905/;(2011–2020);7;55 min;5.6;290;
